,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,1.18136721571,0.621737018584,0.625971061553,0.622930607828,0.0758643617455,0.0076766126752,0.0237585577836,0.00842551287311
autos,1.1486956857,0.552785180643,0.581634094559,0.564911395075,0.414741594611,0.0402115605243,0.154519516781,0.0466228283048
balance-scale,0.283482263204,0.11504043607,0.181913882603,0.114378339775,0.0126028623297,0.0348093747974,0.188519077478,0.0350875572661
car,0.395690141264,0.382935310146,0.381198240134,0.397370253841,0.0147134382214,0.0224898343312,0.0577742218316,0.0264570521894
cleveland,0.677199882846,0.414060512143,0.583217470429,0.425492039551,0.2398389115,0.0697718993057,0.375084142789,0.0762367962653
credit-approval,1.18630615193,0.413007752086,0.474794458262,0.45878860509,0.386992992095,0.0595283375088,0.16116419088,0.0571838946319
dermatology,0.463544254197,0.072561557448,0.112380539998,0.0777380281838,0.475633817961,0.0591714413411,0.151120369868,0.0656048233166
diabetes,0.628130436515,0.527563590795,0.558785066561,0.5176805976,0.12206572347,0.0421299205725,0.142358474482,0.0344199537277
ecoli,3.67695603436,0.181360462578,0.408302748484,0.392501743937,1.36653503645,0.0801601511951,0.444209311684,0.115926588785
flare,2.01002544194,0.441713437163,0.430700679526,0.548755888323,0.824022964952,0.0311835969228,0.042859251186,0.0184223141752
german,0.907398959331,0.563660733637,0.535572718081,0.523483716499,0.239195400402,0.0245247832558,0.0444980680884,0.0255050173845
glass,1.23096327878,0.595299532123,0.78791353976,0.598287228743,0.804986236843,0.0505765407547,0.472273377725,0.0469415390029
heart-statlog,0.606324842254,0.396883442524,0.518808996142,0.408934292687,0.227100897822,0.0755231321055,0.504489047583,0.0831190288561
hepatitis,3.89873356336,0.388380960547,0.517441333586,0.436402755316,2.15432589497,0.0920693575713,0.438126930184,0.0986311551865
horse,5.09644261438,0.543294776456,0.712926257889,0.630895698746,2.45361078754,0.0527643397882,0.408872080099,0.0482343824047
ionosphere,1.16560671444,0.292639117223,0.387421747682,0.325219579996,0.406314698084,0.0594221306104,0.362618758744,0.0704368899907
iris,8.92109725393e-07,4.42712784667e-05,7.94625444941e-07,1.35936570505e-05,4.17064143303e-06,8.37854718792e-05,4.12046423139e-06,1.90848422957e-07
landsat-satellite,0.650373876232,0.182992025152,0.19065687501,0.222844858388,0.0968843566659,0.0159014100093,0.025093015484,0.0174782647985
letter,0.0878582083478,0.0829427596573,0.0786039849253,0.0858321039799,0.00643710961255,0.00429247271764,0.00458377105127,0.00324758698376
libras-movement,0.542463225485,0.137598175751,0.233730079744,0.139480158398,0.514304781129,0.0647758255725,0.331499667282,0.0613916305463
lung-cancer,0.384769648072,0.0901440374158,0.113651540492,0.110109916413,0.777462486833,0.060216867655,0.064782805793,0.0631332794084
mfeat-karhunen,0.132662957558,0.0606679196197,0.095943582319,0.0678442703192,0.0830741803847,0.0214790904927,0.0826069248555,0.0213402468377
mfeat-morphological,0.0552620429963,0.0128684308706,0.0158917478378,0.0127098186687,0.0720673022521,0.0170352753668,0.0393887095314,0.0169472326187
mfeat-zernike,1.26941875722,0.0966987333764,0.102790229264,0.139381600972,0.189554911155,0.0209327543555,0.0569799672641,0.0165956318599
mushroom,0.625923362143,0.309799862345,0.226649370719,0.267121157375,0.0894353933021,0.0234197226902,0.0142460002961,0.0165494093012
optdigits,13.9060563847,0.250739835929,0.243496000645,0.271934148375,0.924017723395,0.00977234507051,0.0127453909865,0.00601706807176
page-blocks,1.06201574258,0.227948817506,0.189095843494,0.264775766848,0.149608616808,0.0115639635293,0.0158447291366,0.0114088542895
pendigits,0.335324783219,0.0766481755293,0.0792368354912,0.0864018978098,0.037421376058,0.00563239336077,0.0133405147665,0.00618165398877
scene-classification,12.4225986074,0.453564456628,0.460000397113,0.465250392681,0.748267383037,0.0152999344542,0.0238240191824,0.0136020587431
segment,1.31565689246,0.111387472483,0.132091565966,0.196826804932,0.130888128466,0.0216221525167,0.0816451315269,0.021525210509
shuttle,0.686725962695,0.286112507302,0.218019933049,0.322669576734,0.024295996044,0.00328251030513,0.006099732583,0.00318364003541
sonar,2.50368911988,0.566505202137,0.610087281158,0.602990379417,1.02113608034,0.0723477471819,0.377512162029,0.0665198870385
spambase,5.36895158924,0.371423794788,0.314956165374,0.406853125785,0.508420075878,0.0210590176079,0.0383724696013,0.0156040030468
tic-tac,0.588782036226,0.583881487946,0.591205510307,0.582323688186,0.0162240981259,0.0223170814856,0.0672104250231,0.0227359299899
vehicle,0.588114142108,0.445924561512,0.414340321835,0.428626592051,0.19125422846,0.0509924923103,0.0616198008584,0.044746022886
vowel,0.112794869097,0.11168564132,0.16626585205,0.128346004786,0.0238925769722,0.0222192835145,0.145331097453,0.0296851293822
waveform-5000,0.363811227364,0.29198056805,0.308403084637,0.307521748239,0.0309030386942,0.0161674806012,0.0312302297371,0.0170638941407
wdbc,0.636188063447,0.147028364104,0.220322725719,0.235259066192,0.292137654938,0.0396646051329,0.174155272371,0.0548392938323
wpbc,1.74041406653,0.532781552076,0.681860533008,0.534335849727,0.719998001994,0.0431391584337,0.505646033843,0.0297487822602
yeast,1.90000720125,0.591543079888,0.589094549149,0.561799185302,2.06572591326,0.0298556988229,0.0472132383407,0.029882493109
zoo,0.641714569239,0.133717568859,0.312307342778,0.133569222599,1.11423590177,0.200285734903,0.629595839939,0.200039368833
